DNA_number	Protein_name	Score	Col_3	Col_4	Col_5	Col_6	Col_7	Col_8	Col_9	Col_10	Col_11
sample_1000257	sp|Q8XDD1|ELFC_ECO57	100.0	49	0	0	3	149	349	397	3.89e-29	105.0
sample_1000257	sp|P75857|ELFC_ECOLI	100.0	49	0	0	3	149	349	397	4.17e-29	105.0
sample_100059	sp|Q8FL64|MURG_ECOL6	100.0	49	0	0	2	148	140	188	8.86e-28	100.0
sample_100059	sp|Q0TLP9|MURG_ECOL5	100.0	49	0	0	2	148	140	188	8.86e-28	100.0
sample_100059	sp|B7MNU9|MURG_ECO81	100.0	49	0	0	2	148	140	188	8.86e-28	100.0
sample_100059	sp|B7NHJ6|MURG_ECO7I	100.0	49	0	0	2	148	140	188	8.86e-28	100.0
sample_100059	sp|B7UIE0|MURG_ECO27	100.0	49	0	0	2	148	140	188	8.86e-28	100.0
sample_100059	sp|Q1RGA5|MURG_ECOUT	100.0	49	0	0	2	148	140	188	9.33e-28	100.0
sample_100059	sp|A1A7D5|MURG_ECOK1	100.0	49	0	0	2	148	140	188	9.33e-28	100.0
sample_100059	sp|B7MAL3|MURG_ECO45	100.0	49	0	0	2	148	140	188	9.33e-28	100.0
sample_100059	sp|B5YZC6|MURG_ECO5E	100.0	49	0	0	2	148	140	188	1.0400000000000002e-27	100.0
sample_100059	sp|Q8X9Y8|MURG_ECO57	100.0	49	0	0	2	148	140	188	1.0400000000000002e-27	100.0
sample_100059	sp|B7LFW0|MURG_ECO55	100.0	49	0	0	2	148	140	188	1.09e-27	99.8
sample_100059	sp|B1LG27|MURG_ECOSM	100.0	49	0	0	2	148	140	188	1.1300000000000002e-27	99.8
sample_100059	sp|B6HZ67|MURG_ECOSE	100.0	49	0	0	2	148	140	188	1.1300000000000002e-27	99.8
sample_100059	sp|B7N7W3|MURG_ECOLU	100.0	49	0	0	2	148	140	188	1.1300000000000002e-27	99.8
sample_100059	sp|B7M133|MURG_ECO8A	100.0	49	0	0	2	148	140	188	1.1300000000000002e-27	99.8
sample_100059	sp|A7ZHI1|MURG_ECO24	100.0	49	0	0	2	148	140	188	1.1300000000000002e-27	99.8
sample_100059	sp|P17443|MURG_ECOLI	100.0	49	0	0	2	148	140	188	1.1700000000000001e-27	99.8
sample_100059	sp|B1IR88|MURG_ECOLC	100.0	49	0	0	2	148	140	188	1.1700000000000001e-27	99.8
sample_100059	sp|B1XC67|MURG_ECODH	100.0	49	0	0	2	148	140	188	1.1700000000000001e-27	99.8
